Parameter,Category Description,Parameter Description,Basic Criterion,Medium Criterion,High Criterion,Optimised Parameter Name,Domain / Category,Category Overview,,
Video conference (teams/meet/webex),,"Video conferencing applications (Microsoft Teams, Google Meet, Zoom, Webex) accessible on the infotainment screen when parked. ",,,"Video conferencing using embedded interior camera, microphone array, and speaker system (parked).",In-Vehicle Video Conferencing,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Digital Handbook (Electronic Owners Manual),,"A digital, searchable version of the vehicle owner's manual embedded in the infotainment system, enabling drivers to quickly find operating instructions and safety information contextually — without physical paperwork.",,Interactive searchable digital handbook within the infotainment system.,"
Interactive searchable digital handbook within the infotainment system.",Digital Owner's Manual (Electronic Handbook),,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Off road pages / Performance Page,,"Dedicated infotainment pages displaying real-time off-road or performance telemetry: pitch/roll angles, wheel articulation, terrain mode status, traction indicators, G-force meter, and lap timers.",,,"
Dedicated infotainment pages displaying real-time off-road or performance telemetry",Off-Road and Performance Telemetry Pages,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
"Drive mode selection (terrain mode, sport mode, race…) Basic: predefined settings; High: individual drive mode",,"System allowing the driver to select or configure driving modes that alter powertrain, steering, suspension, traction, and braking parameters.","Fixed OEM-defined presets only (Eco, Normal, Sport).",,"Fully customisable individual mode: driver sets and saves all parameters (powertrain, steering, suspension, regen, HMI theme).",Drive Mode Selection (Terrain / Sport / Custom),,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Trailer Tow Pages,,"Dedicated infotainment application consolidating all trailer-related information and controls into a single interface: trailer profiles, hitch guidance, real-time trailer telemetry, lighting status, and camera feeds.",,,"
Dedicated infotainment application consolidating all trailer-related information and controls into a single interface",Trailer Towing Management Pages,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Door status (lock / unlock),,Ability to view door lock status (locked/unlocked) via a companion mobile application.,,,Ability to view door lock status (locked/unlocked),Remote Door Lock Status Monitoring,,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Window Status,,"Companion app feature showing the open/closed/partially-open status of each vehicle window, helping prevent weather damage when windows are inadvertently left open.",,,"
Binary open/closed indication for all windows.",Remote Window Status Monitoring,,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Headlights Status,,"Ability to view the current status of the vehicle's headlights (e.g., on, off, auto mode) via a companion mobile application.",,,Ability to view the current status of the vehicle's headlights,Remote Headlights Status Monitoring,,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Trunk Status,,"Ability to view the current status of the vehicle's trunk/tailgate (e.g., open, closed) via a companion mobile application.",,,Ability to view the current status of the vehicle's trunk/tailgate,Remote Trunk and Tailgate Status Monitoring,,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
"Range Status (fuel, battery)",,"Companion app display of the vehicle's current fuel level (ICE/hybrid) or battery SoC and estimated remaining driving range (EV/PHEV), helping owners plan refuelling or recharging needs.",,,Range with contextual guidance (nearby chargers/stations if range is low) and historical range trends.,Remote Driving Range Status (Fuel / Battery),,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Parking position (GPS),, Ability to locate the vehicle's current or last known GPS parking position on a map via a companion mobile application.,,,"Map with vehicle position, nearby landmarks, and walking navigation to vehicle.",Remote Vehicle Location (GPS Parking Position),,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Driving Data (past trip analytics),,"Companion app access to historical trip data including distance, duration, energy or fuel consumption, average speed, driving efficiency scores, and CO₂ emissions — enabling drivers to track and improve their driving habits.",,,"
Ability to access and review data and analytics from previous trips (e.g., distance driven, duration, average speed, energy consumption, driving style scores)",Remote Trip History and Driving Analytics,,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Maintenance Reminder,,"Notifications or reminders regarding upcoming scheduled vehicle maintenance (e.g., service intervals, inspections), accessible via the companion mobile app and/or displayed in the vehicle.",,,Notifications or reminders regarding upcoming scheduled vehicle maintenance,Remote Maintenance Reminder and Service Alerts,,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Vehicle State of health,,"Ability to view an overview of the vehicle's health status (e.g., tire pressure information, status of critical fluid levels, diagnostic trouble codes, or general system check results) via a companion mobile application.",,,Ability to view an overview of the vehicle's health status,Remote Vehicle Health Status Monitoring,,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Headlights On/Off  (remote light),,"Remote command via the companion app to activate the vehicle's headlights (typically as a locator flash), helping the driver find the vehicle in a crowded or dark parking area.",,,"
Remote light flash to locate vehicle.",Remote Headlights Activation (Vehicle Locator),,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Lock/Unlock,,Ability to remotely lock or unlock the vehicle's doors via a companion mobile application.,,,Ability to remotely lock or unlock the vehicle's doors ,Remote Door Lock and Unlock,,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Horn & Indicators On/Off,,"Remote activation of the vehicle's horn and/or hazard indicators via the companion app, used to locate the car or as an emergency alert.",,,"
Remote horn and / or hazard light activation",Remote Horn and Hazard Light Activation,,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Trunk unlock (independant from doors),,"Remote command via the companion app to unlock or open the boot/trunk independently, without unlocking the main passenger doors — useful for secure parcel delivery or valet access.",,,"
Remote trunk unlock independent of door lock state.",Remote Trunk Unlock (Independent of Doors),,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Window & Sunroof Open/Close,,"Remote command via the companion app to open or close the vehicle's windows and/or sunroof, useful for ventilation management or confirming closure before departing.",,,"
Control of windows and sunroof with a comfort vent position option.",Remote Window and Sunroof Control,,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Thermal Pre-conditionning (Climate),,"Remote activation of the vehicle's climate control system via the companion app, allowing the cabin to reach a desired temperature before the driver enters — particularly valuable in extreme weather or for EV pre-conditioning.",,"
Remote climate on/off at last-used temperature setting.","
Remote climate with target temperature setting and departure timer.",Remote Cabin Pre-Conditioning (Climate Control),,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
"Digital Key ( Access/start from Smart Device) NFC, UWB, BT",,Technology enabling a compatible smartphone to function as a vehicle key. ,,NFC only with active interaxtion for opening and starting,BT or UWB for a passive interaction with proximity door unlocking and authenticaiton for starting the vehicle,Digital Key via Smartphone (NFC / Bluetooth / UWB),,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Remote Engine Start (ICE) (where allowed),,"Remote engine start via the companion app for ICE or hybrid vehicles, primarily to pre-condition the cabin climate before the driver boards. Subject to legal requirements by market.",,,"If the brand offers remote engine start via the mobile app for pre-conditioning, even if the analyzed vehicle is a BEV",Remote Engine Start (ICE and Hybrid Vehicles),,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Alarm Notification,,"Push notification sent to the owner's smartphone if the vehicle's anti-theft alarm is triggered, enabling immediate awareness and response regardless of proximity.",,,"If this feature is available in any configuration (standard, optional, or as part of a connected service subscription).",Remote Anti-Theft Alarm Notification,,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Area/speed/ time monitoring,,"Telematics features allowing the owner to set geographic geofences, speed limits, and time-based access restrictions for the vehicle, receiving alerts via the app when boundaries are exceeded — useful for fleet and young-driver management.",,,"Geofencing and/or speed limit via app + notifications, whether standard or optional.","Remote Geofence, Speed and Curfew Monitoring",,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Pet mode / Camp Mode /Work Mode,,Specialised parked-vehicle modes. Pet Mode maintains safe cabin temperature for animals with an exterior screen notification. Camp Mode enables extended climate and power use. Work Mode activates power outlets and productivity features.,,,"A pet mode maintaining cabin temperature with notifications, and/or a camp/work mode allowing USB device charging.",Pet Mode / Camp Mode / Work Mode,,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Remote Interior/ 360 Exterior View,,"Remote live camera feed via the companion app, showing a view from the vehicle's interior camera(s) or 360-degree exterior surround cameras — enabling security checks or confirming vehicle surroundings remotely.",Static image from one exterior camera viewable in app.,Live exterior camera feed from one or more cameras in app.,Live 360° exterior view and/or interior camera feed accessible remotely via app.,Remote Live Camera View (Interior and 360 Exterior),,Remote Application & Digital Services,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",
Assisted Driving L2 : ACC + lane centering / positioning,,The system can also provide steering assistance and suppress acceleration at low speeds to help prevent collisions,,,Assisted Driving L2 : ACC + lane centering / positioning,Level 2 Assisted Driving (ACC with Lane Centring),,ADAS Active Driving Assistance,"Advanced Driver Assistance Systems handling longitudinal and lateral driving tasks while in motion: Adaptive Cruise Control (ACC), Lane Centering, Predictive Speed management, Hands-Free Level 2+, and Conditional Level 3 autonomy. These systems reduce driver fatigue on long journeys, contribute to safety ratings, and represent the primary axis of competitive differentiation toward autonomous driving capability.",
Intelligent Speed Assist ,,System that reads road speed limit signs via camera and/or map data. ,,Detected speed limit proposed to driver who confirms via button to set ACC.,Automatic speed adjustment to match detected road speed limit sign.,Intelligent Speed Assist (Speed Limit Recognition),,ADAS Active Driving Assistance,"Advanced Driver Assistance Systems handling longitudinal and lateral driving tasks while in motion: Adaptive Cruise Control (ACC), Lane Centering, Predictive Speed management, Hands-Free Level 2+, and Conditional Level 3 autonomy. These systems reduce driver fatigue on long journeys, contribute to safety ratings, and represent the primary axis of competitive differentiation toward autonomous driving capability.",
Predictive ACC ,,Enhancement of standard ACC that uses map and real-time data to anticipate speed changes before sensors detect them. ,,Predictive speed reduction for upcoming speed limit changes and curves.,"Predictive speed management using map data: speed limits, curves, roundabouts, and intersections.",Predictive Adaptive Cruise Control,,ADAS Active Driving Assistance,"Advanced Driver Assistance Systems handling longitudinal and lateral driving tasks while in motion: Adaptive Cruise Control (ACC), Lane Centering, Predictive Speed management, Hands-Free Level 2+, and Conditional Level 3 autonomy. These systems reduce driver fatigue on long journeys, contribute to safety ratings, and represent the primary axis of competitive differentiation toward autonomous driving capability.",
Extended Auto Resume with leading vehicle after complete stop,,"While using the ACC Stop & Go feature, the Extended Auto Resume function aims to increase the duration between the stop and go status.",,,the Extended Auto Resume function increases the stop duration during ACC Stop & Go use.,Extended Stop-and-Go Auto Resume,,ADAS Active Driving Assistance,"Advanced Driver Assistance Systems handling longitudinal and lateral driving tasks while in motion: Adaptive Cruise Control (ACC), Lane Centering, Predictive Speed management, Hands-Free Level 2+, and Conditional Level 3 autonomy. These systems reduce driver fatigue on long journeys, contribute to safety ratings, and represent the primary axis of competitive differentiation toward autonomous driving capability.",
Lane Change systems,,Automated lane-change assistance on highways,Driver-initiated: driver activates the turn indicator; system checks the target lane and executes the manoeuvre if the space is clear.,"Driver-confirmed: system detects that a lane change is relevant (to follow the planned route or overtake a slow vehicle), proposes it to the driver, and executes only after the driver confirms.","System-initiated: system autonomously identifies the need to overtake a slow vehicle, proposes the manoeuvre, and — after driver confirmation — fully executes the lane change including return to the original lane.",Automated Lane Change Assist,,ADAS Active Driving Assistance,"Advanced Driver Assistance Systems handling longitudinal and lateral driving tasks while in motion: Adaptive Cruise Control (ACC), Lane Centering, Predictive Speed management, Hands-Free Level 2+, and Conditional Level 3 autonomy. These systems reduce driver fatigue on long journeys, contribute to safety ratings, and represent the primary axis of competitive differentiation toward autonomous driving capability.",
Assisted navigation ,,Route-following lane-change automation on highways. ,,System proposes route-following lane change; driver must confirm to execute.,System automatically initiates and executes route-following lane changes without driver confirmation.,In-Vehicle Navigation System,,ADAS Active Driving Assistance,"Advanced Driver Assistance Systems handling longitudinal and lateral driving tasks while in motion: Adaptive Cruise Control (ACC), Lane Centering, Predictive Speed management, Hands-Free Level 2+, and Conditional Level 3 autonomy. These systems reduce driver fatigue on long journeys, contribute to safety ratings, and represent the primary axis of competitive differentiation toward autonomous driving capability.",
Turn Signal Activated Blind Spot View,,"When the driver activates a turn indicator, the system displays a live camera feed of the corresponding adjacent lane/blind spot on the IVI screen or cluster, supplementing mirror visibility.",,Camera view on IVI displayed when indicator activated — shows adjacent lane.,Camera view in cluster or HUD (driver axis) when indicator activated with dynamic path overlay.,Turn Signal Activated Blind Spot Camera View,,ADAS Active Driving Assistance,"Advanced Driver Assistance Systems handling longitudinal and lateral driving tasks while in motion: Adaptive Cruise Control (ACC), Lane Centering, Predictive Speed management, Hands-Free Level 2+, and Conditional Level 3 autonomy. These systems reduce driver fatigue on long journeys, contribute to safety ratings, and represent the primary axis of competitive differentiation toward autonomous driving capability.",
Handsfree Driving L2+,,"Hands-off driving capability (SAE Level 2+) where the driver can remove hands from the steering wheel while the system manages steering, speed, and lane keeping. ",,Allows hands-off driving on highways only,Hands-free L2+ on motorways AND secondary/rural roads.,Hands-Free Driving Level 2+,,ADAS Active Driving Assistance,"Advanced Driver Assistance Systems handling longitudinal and lateral driving tasks while in motion: Adaptive Cruise Control (ACC), Lane Centering, Predictive Speed management, Hands-Free Level 2+, and Conditional Level 3 autonomy. These systems reduce driver fatigue on long journeys, contribute to safety ratings, and represent the primary axis of competitive differentiation toward autonomous driving capability.",
Autonomous driving L3,,"SAE Level 3 conditional automation: the system manages all driving tasks within defined operational conditions, and the driver can disengage attention (eyes off road) for extended periods. ",L3 conditional automation on motorways at up to 60 km/h (traffic-jam pilot).,L3 on motorways up to 95 km/h.,L3 on motorways above 95 km/h (or broader road-type coverage).,Autonomous Driving Level 3 (Conditional Automation),,ADAS Active Driving Assistance,"Advanced Driver Assistance Systems handling longitudinal and lateral driving tasks while in motion: Adaptive Cruise Control (ACC), Lane Centering, Predictive Speed management, Hands-Free Level 2+, and Conditional Level 3 autonomy. These systems reduce driver fatigue on long journeys, contribute to safety ratings, and represent the primary axis of competitive differentiation toward autonomous driving capability.",
Dynamic road view,,"Real-time graphical representation of the vehicle's perceived environment — surrounding vehicles, lane markings, pedestrians, cyclists, and other objects — displayed on the instrument cluster or IVI to give the driver a bird's-eye situational awareness view.",,,"Real-time graphical display of the vehicle’s surroundings (vehicles, lanes, pedestrians, cyclists, other objects) in the instrument cluster or main infotainment screen.",Dynamic Surrounding Environment Visualisation,,ADAS Active Driving Assistance,"Advanced Driver Assistance Systems handling longitudinal and lateral driving tasks while in motion: Adaptive Cruise Control (ACC), Lane Centering, Predictive Speed management, Hands-Free Level 2+, and Conditional Level 3 autonomy. These systems reduce driver fatigue on long journeys, contribute to safety ratings, and represent the primary axis of competitive differentiation toward autonomous driving capability.",
€NCap rating,,"The Euro NCAP (New Car Assessment Programme) overall safety star rating for the vehicle, reflecting performance across Adult Occupant, Child Occupant, Vulnerable Road User, and Safety Assist categories. ",3-star Euro NCAP rating.,4-star Euro NCAP rating (or dual rating up to 4★).,5-star Euro NCAP rating (or dual rating up to 5★).,Euro NCAP Safety Rating,,ADAS Active Driving Assistance,"Advanced Driver Assistance Systems handling longitudinal and lateral driving tasks while in motion: Adaptive Cruise Control (ACC), Lane Centering, Predictive Speed management, Hands-Free Level 2+, and Conditional Level 3 autonomy. These systems reduce driver fatigue on long journeys, contribute to safety ratings, and represent the primary axis of competitive differentiation toward autonomous driving capability.",
USA Top Safety Pick,,IIHS (Insurance Institute for Highway Safety) recognition programme rating vehicle safety performance across crashworthiness and crash avoidance criteria in the USA. ,IIHS Good ratings across most categories — no TSP award.,IIHS Top Safety Pick (TSP) award.,IIHS Top Safety Pick+ (TSP+) award — highest IIHS designation.,IIHS Top Safety Pick Rating (USA),,ADAS Active Driving Assistance,"Advanced Driver Assistance Systems handling longitudinal and lateral driving tasks while in motion: Adaptive Cruise Control (ACC), Lane Centering, Predictive Speed management, Hands-Free Level 2+, and Conditional Level 3 autonomy. These systems reduce driver fatigue on long journeys, contribute to safety ratings, and represent the primary axis of competitive differentiation toward autonomous driving capability.",
Blind Spot -,,System monitoring the vehicle's blind-spot zones alongside and to the rear. Medium = visual/audio warning alerts when a vehicle is detected in the blind spot during a lane change attempt; High = warning plus active steering correction to physically resist the lane change.,Visual BSM indicator in mirror or A-pillar — audio alert optional.,,Warning plus active steering correction to resist lane change into occupied blind spot.,Blind Spot Monitoring and Assist,,ADAS  Danger Alert & Active Safety,,"Systems that warn drivers of imminent hazards and actively intervene to prevent collisions: Blind Spot Monitoring and Assist, Rear Cross Traffic Alert and Braking, Safe Exit (Door Opening) Assist, and Night Vision. These features are heavily weighted in Euro NCAP and IIHS safety ratings, making them critical both for consumer safety outcomes and for the vehicle's market positioning."
Rear Cross Traffic -,,"M: Alert of an obstacle approaching perpendicular to the vehicle path while in reverse 
H: Automatic braking to avoid an obstacle approaching perpendicular to the vehicle path while in reverse",Alert of an obstacle approaching perpendicular to the vehicle path while in reverse ,,Automatic braking to avoid an obstacle approaching perpendicular to the vehicle path while in reverse,Rear Cross Traffic Alert and Braking,,ADAS  Danger Alert & Active Safety,,"Systems that warn drivers of imminent hazards and actively intervene to prevent collisions: Blind Spot Monitoring and Assist, Rear Cross Traffic Alert and Braking, Safe Exit (Door Opening) Assist, and Night Vision. These features are heavily weighted in Euro NCAP and IIHS safety ratings, making them critical both for consumer safety outcomes and for the vehicle's market positioning."
Door Opening -,,"Alerts the user of an approaching pedestrian, cyclist, or vehicle when opening the door",Warning,, Assist (Temporarily blocks the door from opening),Safe Exit Assist (Door Opening Warning),,ADAS  Danger Alert & Active Safety,,"Systems that warn drivers of imminent hazards and actively intervene to prevent collisions: Blind Spot Monitoring and Assist, Rear Cross Traffic Alert and Braking, Safe Exit (Door Opening) Assist, and Night Vision. These features are heavily weighted in Euro NCAP and IIHS safety ratings, making them critical both for consumer safety outcomes and for the vehicle's market positioning."
Night Vision,,"Infrared or thermal imaging system displayed on the IVI or cluster, enhancing the driver's ability to detect pedestrians, animals, and obstacles beyond the reach of the headlights in low-light or adverse weather conditions.",Monochrome infrared front camera image on IVI (manual activation).,Night vision with pedestrian and animal object highlighting on IVI.,"Night vision with pedestrian/animal classification, cluster pop-up alert, and high-beam integration.",Night Vision Driver Assistance,,ADAS  Danger Alert & Active Safety,,"Systems that warn drivers of imminent hazards and actively intervene to prevent collisions: Blind Spot Monitoring and Assist, Rear Cross Traffic Alert and Braking, Safe Exit (Door Opening) Assist, and Night Vision. These features are heavily weighted in Euro NCAP and IIHS safety ratings, making them critical both for consumer safety outcomes and for the vehicle's market positioning."
Park Assist -,,"M: Alerts when there are obstacles in front and behind vehicle during low/speed maneuvering and parking via audible and visual warnings / H: Alerts when there are obstacles in front, behind and alongside vehicle during low/speed maneuvering and parking via audible and visual warnings",,Alerts when there are obstacles in front and behind vehicle during low/speed maneuvering and parking via audible and visual warnings ,"Alerts when there are obstacles in front, behind and alongside vehicle during low/speed maneuvering and parking via audible and visual warnings",Parking Distance Sensors (Park Assist),,ADAS Parking & Low-Speed Manoeuvring,"Technologies assisting with parking and slow-speed manoeuvres: proximity sensors, rear-view and 360-degree surround cameras, 3D bowl and transparent-chassis views, semi- and fully automated parking, remote parking via smartphone, and home-zone replay. As urban environments become denser and vehicles wider, parking assistance has become a baseline expectation across vehicle segments.",
Rear View Camera including dynamic gridlines,,"Rear-facing camera displayed on the IVI when reversing. Includes static parking guidelines and, at higher levels, dynamic guidelines that rotate in real time with the steering angle to show the predicted vehicle path.",Static rear view camera image without guidelines.,Rear view with static reference/parking guidelines.,Dynamic steering-angle-linked guidelines showing predicted vehicle path and trailer hitch overlay.,Rear View Camera with Dynamic Guidelines,,ADAS Parking & Low-Speed Manoeuvring,"Technologies assisting with parking and slow-speed manoeuvres: proximity sensors, rear-view and 360-degree surround cameras, 3D bowl and transparent-chassis views, semi- and fully automated parking, remote parking via smartphone, and home-zone replay. As urban environments become denser and vehicles wider, parking assistance has become a baseline expectation across vehicle segments.",
Surround view (360 degree View),,"Four-camera stitched bird's-eye composite view of the vehicle and its immediate surroundings displayed at low speed, enabling precise manoeuvring in tight spaces. Includes selectable directional camera views for close obstacle inspection.",,,360°  view with 4 cameras plus directional views for precise low-speed maneuvering,360-Degree Surround View Camera System,,ADAS Parking & Low-Speed Manoeuvring,"Technologies assisting with parking and slow-speed manoeuvres: proximity sensors, rear-view and 360-degree surround cameras, 3D bowl and transparent-chassis views, semi- and fully automated parking, remote parking via smartphone, and home-zone replay. As urban environments become denser and vehicles wider, parking assistance has become a baseline expectation across vehicle segments.",
3D Bowl view,,"Advanced variant of surround-view that renders a three-dimensional rotating perspective view of the vehicle and its surroundings, providing enhanced spatial depth perception compared to a flat top-down image.",,,Cameras around the vehicle show a simulated perspective view​ ,3D Bowl Surround View,,ADAS Parking & Low-Speed Manoeuvring,"Technologies assisting with parking and slow-speed manoeuvres: proximity sensors, rear-view and 360-degree surround cameras, 3D bowl and transparent-chassis views, semi- and fully automated parking, remote parking via smartphone, and home-zone replay. As urban environments become denser and vehicles wider, parking assistance has become a baseline expectation across vehicle segments.",
"Trail Cam/Front ""Tire to Curb"" View",,Composite camera view using front grille and side-mirror cameras to show the terrain and obstacles directly in front of and between the front wheels — a zone normally invisible to the driver — displayed on the central touchscreen.,,,"Full composite terrain view: front grille, mirrors, and ground clearance visualisation.",Front Trail Camera (Tire-to-Curb View),,ADAS Parking & Low-Speed Manoeuvring,"Technologies assisting with parking and slow-speed manoeuvres: proximity sensors, rear-view and 360-degree surround cameras, 3D bowl and transparent-chassis views, semi- and fully automated parking, remote parking via smartphone, and home-zone replay. As urban environments become denser and vehicles wider, parking assistance has become a baseline expectation across vehicle segments.",
