Domain / Category,Parameter,Category Description,Parameter Description,Basic — Criterion,Medium — Criterion,High — Criterion,Optimised Parameter Name
ADAS Driving,Assisted navigation ,,Route-following lane-change automation on highways. ,No assisted navigation lane changes — manual lane changes required.,System proposes route-following lane change; driver must confirm to execute.,System automatically initiates and executes route-following lane changes without driver confirmation.,In-Vehicle Navigation System
ADAS Driving,Turn Signal Activated Blind Spot View,,"When the driver activates a turn indicator, the system displays a live camera feed of the corresponding adjacent lane/blind spot on the IVI screen or cluster, supplementing mirror visibility.",Mirror-integrated BSM indicator light only.,Camera view on IVI displayed when indicator activated — shows adjacent lane.,Camera view in cluster (driver axis) when indicator activated with dynamic path overlay.,Turn Signal Activated Blind Spot Camera View
ADAS Driving,Handsfree Driving L2+,,"Hands-off driving capability (SAE Level 2+) where the driver can remove hands from the steering wheel while the system manages steering, speed, and lane keeping. ",L2 only — hands must remain on steering wheel at all times.,Hands-free L2+ on motorways/controlled-access roads only.,Hands-free L2+ on motorways AND secondary/rural roads.,Hands-Free Driving Level 2+
ADAS Driving,Autonomous driving L3,,"SAE Level 3 conditional automation: the system manages all driving tasks within defined operational conditions, and the driver can disengage attention (eyes off road) for extended periods. ",L3 conditional automation on motorways at up to 60 km/h (traffic-jam pilot).,L3 on motorways up to 95 km/h.,L3 on motorways above 95 km/h (or broader road-type coverage).,Autonomous Driving Level 3 (Conditional Automation)
ADAS Driving,Dynamic road view,,"Real-time graphical representation of the vehicle's perceived environment — surrounding vehicles, lane markings, pedestrians, cyclists, and other objects — displayed on the instrument cluster or IVI to give the driver a bird's-eye situational awareness view.",Schematic vehicle icon with basic lane and lead-vehicle display.,"Real-time visualisation of lanes, detected vehicles, and road markings in cluster.","Full 360° animated environment: lanes, vehicles, cyclists, pedestrians, and road furniture on a live 3D rendered map.",Dynamic Surrounding Environment Visualisation
ADAS Driving,€NCap rating,,"The Euro NCAP (New Car Assessment Programme) overall safety star rating for the vehicle, reflecting performance across Adult Occupant, Child Occupant, Vulnerable Road User, and Safety Assist categories. ",3-star Euro NCAP rating.,4-star Euro NCAP rating (or dual rating up to 4★).,5-star Euro NCAP rating (or dual rating up to 5★).,Euro NCAP Safety Rating
ADAS Driving,USA Top Safety Pick,,IIHS (Insurance Institute for Highway Safety) recognition programme rating vehicle safety performance across crashworthiness and crash avoidance criteria in the USA. ,IIHS Good ratings across most categories — no TSP award.,IIHS Top Safety Pick (TSP) award.,IIHS Top Safety Pick+ (TSP+) award — highest IIHS designation.,IIHS Top Safety Pick Rating (USA)
▶  ADAS DANGER ALERT & ACTIVE SAFE,ADAS — Danger Alert & Active Safety,,,,,,
Category Overview,,"Systems that warn drivers of imminent hazards and actively intervene to prevent collisions: Blind Spot Monitoring and Assist, Rear Cross Traffic Alert and Braking, Safe Exit (Door Opening) Assist, and Night Vision. These features are heavily weighted in Euro NCAP and IIHS safety ratings, making them critical both for consumer safety outcomes and for the vehicle's market positioning.",,,,,
ADAS DANGER ALERT & ACTIVE SAFE,Blind Spot -,,System monitoring the vehicle's blind-spot zones alongside and to the rear. Medium = visual/audio warning alerts when a vehicle is detected in the blind spot during a lane change attempt; High = warning plus active steering correction to physically resist the lane change.,Visual BSM indicator in mirror or A-pillar — audio alert optional.,Visual and audio warning preventing lane change when vehicle detected in blind spot.,Warning plus active steering correction to resist lane change into occupied blind spot.,Blind Spot Monitoring and Assist
ADAS DANGER ALERT & ACTIVE SAFE,Rear Cross Traffic -,,"M: Alert of an obstacle approaching perpendicular to the vehicle path while in reverse 
H: Automatic braking to avoid an obstacle approaching perpendicular to the vehicle path while in reverse",—,—,—,Rear Cross Traffic Alert and Braking
ADAS DANGER ALERT & ACTIVE SAFE,Door Opening -,,"Alerts the user of an approaching pedestrian, cyclist, or vehicle when opening the door",—,—,—,Safe Exit Assist (Door Opening Warning)
ADAS DANGER ALERT & ACTIVE SAFE,Night Vision,,"Infrared or thermal imaging system displayed on the IVI or cluster, enhancing the driver's ability to detect pedestrians, animals, and obstacles beyond the reach of the headlights in low-light or adverse weather conditions.",Monochrome infrared front camera image on IVI (manual activation).,Night vision with pedestrian and animal object highlighting on IVI.,"Night vision with pedestrian/animal classification, cluster pop-up alert, and high-beam integration.",Night Vision Driver Assistance
▶  ADAS PARKING,ADAS — Parking & Low-Speed Manoeuvring,,,,,,
Category Overview,,"Technologies assisting with parking and slow-speed manoeuvres: proximity sensors, rear-view and 360-degree surround cameras, 3D bowl and transparent-chassis views, semi- and fully automated parking, remote parking via smartphone, and home-zone replay. As urban environments become denser and vehicles wider, parking assistance has become a baseline expectation across vehicle segments.",,,,,
ADAS PARKING,Park Assist -,,"M: Alerts when there are obstacles in front and behind vehicle during low/speed maneuvering and parking via audible and visual warnings / H: Alerts when there are obstacles in front, behind and alongside vehicle during low/speed maneuvering and parking via audible and visual warnings",—,—,—,Parking Distance Sensors (Park Assist)
ADAS PARKING,Rear View Camera including dynamic gridlines,,"Rear-facing camera displayed on the IVI when reversing. Includes static parking guidelines and, at higher levels, dynamic guidelines that rotate in real time with the steering angle to show the predicted vehicle path.",Static rear view camera image without guidelines.,Rear view with static reference/parking guidelines.,Dynamic steering-angle-linked guidelines showing predicted vehicle path and trailer hitch overlay.,Rear View Camera with Dynamic Guidelines
ADAS PARKING,Surround view (360 degree View),,"Four-camera stitched bird's-eye composite view of the vehicle and its immediate surroundings displayed at low speed, enabling precise manoeuvring in tight spaces. Includes selectable directional camera views for close obstacle inspection.",Four-camera stitched top-down 360° view at low speed.,360° view with selectable individual directional camera angles.,"360° view with 3D bowl perspective, transparent body overlay, and selectable zoom areas.",360-Degree Surround View Camera System
ADAS PARKING,3D Bowl view,,"Advanced variant of surround-view that renders a three-dimensional rotating perspective view of the vehicle and its surroundings, providing enhanced spatial depth perception compared to a flat top-down image.",Flat top-down 360° composite view (no perspective elevation).,Slightly elevated 3D perspective 360° view.,Full interactive 3D bowl view with adjustable camera angle and vehicle transparency option.,3D Bowl Surround View
ADAS PARKING,"Trail Cam/Front ""Tire to Curb"" View",,Composite camera view using front grille and side-mirror cameras to show the terrain and obstacles directly in front of and between the front wheels — a zone normally invisible to the driver — displayed on the central touchscreen.,Front grille camera view showing terrain ahead of bumper.,Front grille + mirror cameras showing terrain between front wheels.,"Full composite terrain view: front grille, mirrors, and ground clearance visualisation.",Front Trail Camera (Tire-to-Curb View)
ADAS PARKING,Clear Path Under Body View - Transparent Chassis,,"Advanced camera processing that creates a simulated under-vehicle or transparent-chassis view using delayed front and side camera feeds, helping drivers navigate obstacles and kerbs that would otherwise be hidden beneath the vehicle.",Delayed single-camera front undercarriage approximation.,Multi-camera composite simulating underbody view.,Real-time transparent chassis rendering with camera interpolation and obstacle highlighting.,Transparent Underbody View (Clear Path Vision)
ADAS PARKING,Automated Parking -,,"System that handles the parking manoeuvre without sustained driver input. Medium = system controls steering only (driver manages throttle/brake) for parallel and perpendicular spaces; High = fully automated including steering, throttle, braking, and gear selection.",Park Assist only — driver controls throttle/brake; system steers.,Semi-automated: system controls steering for parallel and perpendicular spaces.,"Fully automated: system controls steering, throttle, braking, and gear selection — hands-free.",Automated Parking System
ADAS PARKING,Remote parking -,,System enabling the driver to control parking from outside the vehicle via a smartphone app. Medium = straight-line pull-in/pull-out only; High = full automated parallel and perpendicular parking with the driver supervising from outside.,Remote control via app for straight-line pull-in/pull-out only.,Remote parking for straight-line plus simple 90° spaces.,Full remote automated parallel and perpendicular parking with driver supervising via app outside the vehicle.,Remote Parking via Smartphone
ADAS PARKING,Auto Reverse Maneuver,,"The vehicle records the driven path as the driver approaches a destination, then autonomously replicates the manoeuvre in reverse — useful for navigating narrow lanes, driveways, or complex approaches.",Manual reverse guidance only — no path recording.,System records and partially assists the reverse of the last driven path.,System fully records driven path and autonomously replicates it in reverse with obstacle detection.,Automatic Reverse Manoeuvre (Path Replay)
ADAS PARKING,Home zone parking,,"The driver trains the vehicle on a specific repeated parking path (e.g., entering a home garage), which is stored and can subsequently be executed autonomously with a single command.",Driver trains a simple home/garage path manually.,System records and replays a single stored home-zone path.,Multiple stored home-zone paths with automatic path selection and hands-free execution.,Home Zone Automated Parking
ADAS PARKING,Valet parking (all parking lots -L4),,SAE Level 4 automated valet parking capability: the vehicle can self-park in any compatible parking structure without a driver present or monitoring the manoeuvre.,Remote parking limited to designated smart-parking facilities only.,Automated valet in supported structures with limited supervision.,Full SAE L4 automated valet in any compatible parking structure — no driver monitoring required.,Automated Valet Parking Level 4
▶  ADAS Trailering,ADAS — Trailering & Towing Assistance,,,,,,
Category Overview,,"Dedicated systems for vehicles towing a trailer or caravan: extended 360° surround view, trailer reverse steering control, hitch alignment assistance, sway control, and hands-free L2+ while towing. A decisive differentiator for pick-up trucks, SUVs, and light commercial vehicles, and a primary reason buyers choose one truck brand over another in North America and growing global truck markets.",,,,,
ADAS Trailering,Trailer 360 Degree Surround View,,"Auxiliary trailer mounted cameras provide a constructed top view of the vehicle, trailer and surroundings to assist them while maneuvering and parking.  Extends top-down 360 surround view between vehicle and trailer.  in addition to a top-down view, Driver can select specific cameras to focus views on",—,—,—,Trailer 360-Degree Surround View Camera
ADAS Trailering,Trailer Reverse Steering Control,,"System that decouples the trailer's direction from the steering wheel: the driver uses a dedicated dial or interface to select the desired trailer direction, while the system independently controls the vehicle's steering to achieve it — eliminating the counterintuitive reversal of steering input.",Driver steers via normal wheel; cameras provide guidance only.,Dial-based directional input with partial steering assistance for trailer reversing.,Full TRSC: driver selects direction via dial; system fully controls steering to follow intended trailer path.,Trailer Reverse Steering Control System
ADAS Trailering,Trailer Reverse Guidance,,"Camera-based system that overlays dynamic predicted path lines on the rear camera image when reversing with a trailer, helping the driver judge the trailer's trajectory and alerting to risk of jack-knifing.",Static camera view showing trailer position while reversing.,Dynamic predicted path lines overlaid on rear camera image.,Dynamic path prediction with jack-knife alert and real-time trailer angle indicator.,Trailer Reverse Guidance with Path Overlay
ADAS Trailering,Trailer Hitch Assist,,"System that takes over steering while the driver manages throttle and brake, using rear cameras and algorithms to guide the vehicle's hitch ball precisely into alignment with the trailer coupler.",Rear camera with static hitch target overlay only.,Driver-guided alignment with camera and sensor distance indicators.,Fully assisted: system controls steering to align hitch ball to coupler; driver manages throttle/brake only.,Trailer Hitch Alignment Assist
ADAS Trailering,Trailer Rear View,,"Live camera feed from a camera mounted at the rear of the trailer, providing an unobstructed view behind the trailer during driving — equivalent to a conventional rear-view mirror but extended past the trailer's length.",Camera port available; customer must supply and connect own camera.,OEM-supplied auxiliary trailer camera with wired connection and basic head-unit display.,Integrated trailer rear view in digital rear-view mirror with automatic activation while driving.,Trailer Rear View Camera
ADAS Trailering,Digital Rear View Mirror - Tow Mode,,"Tow-specific mode for the digital rear-view mirror that simultaneously displays three camera feeds: left side-mirror view, right side-mirror view, and the trailer rear camera — giving the driver complete rear visibility despite the trailer blocking the conventional view.",Digital rear-view mirror without tow-mode camera integration.,DRVM with trailer camera feed as additional selectable view.,"DRVM tow mode: three simultaneous views — left mirror, right mirror, and trailer-rear camera.",Digital Rear View Mirror Tow Mode
ADAS Trailering,Lane Centering w/trailer - L2,,"Extension of the vehicle's L2 Lane Centring Assistance (LCA) to remain active and functional while a trailer is hitched, with adapted control algorithms accounting for the increased length and altered handling dynamics.",Standard L2 lane centring without trailer detection or control adaptation.,L2 lane centring active with trailer connected; adapted steering torque.,"Full L2 with trailer: adapted control algorithms accounting for trailer length, weight, and sway dynamics.",Level 2 Lane Centring while Towing
ADAS Trailering,L2+ w/ Trailering (hands free),,"Extension of hands-free Level 2+ driving capability to remain active and functional while towing a trailer, with trailer-aware control tuning. Represents a significant technical achievement given the added complexity of trailer dynamics.",Hands-free L2+ not available when towing.,Hands-free L2+ available while towing on motorways with speed limitation.,Full hands-free L2+ while towing on motorways with trailer-specific control tuning.,Hands-Free Level 2+ Driving while Towing
ADAS Trailering,Active Trailer Sway Control,,"Enhanced electronic stability intervention specifically targeting trailer oscillation (sway): detects sway forces via sensors, and responds with coordinated stability control braking, trailer brake controller commands, and/or ePAS steering torque overlay to dampen the oscillation before it escalates.",Basic electronic stability control applied reactively when sway is detected.,Dedicated sway detection with automatic engine torque reduction and brake application.,Enhanced sway control: stability control + trailer brake controller + ePAS steering torque overlay.,Active Trailer Sway Control
▶  Cockpit,Cockpit & Human–Machine Interface (HMI),,,,,,
Category Overview,,"All physical and digital elements forming the driver and occupant environment: display hardware (cluster, central screen, HUD, passenger screen, rear screens), display technology and integration, interaction modalities (touch, voice, gesture, gaze), interior and exterior lighting design, seating comfort and adjustment, door mechanisms, and personalisation systems. The cockpit domain defines premium perception, ergonomic quality, and the first emotional impression at point of sale.",,,,,
Cockpit,Full Digital Cluster size,,Size of the fully digital instrument cluster display. ,"Fully digital cluster smaller than 10"" (or focused display < 14.9"").","Digital cluster 10""–12"" (or focused display ≥ 14.9"").","Digital cluster larger than 12"".",Digital Instrument Cluster Screen Size
Cockpit,Central Infotainment Display size,,Size of the primary central infotainment touchscreen. ,"Central display smaller than 12"" (or focused display < 14.9"").","Central display 12""–14"" (or focused display ≥ 14.9"").","Central display larger than 14"".",Central Infotainment Touchscreen Size
Cockpit,Display technology,,Panel technology used for the vehicle's primary displays. ,TFT LCD display technology.,OLED or Full-Array Local Dimming (FALD) LCD.,"Micro-LED, laser projection, transparent, or holographic display technology.",Display Panel Technology (TFT / OLED / Micro-LED)
Cockpit,"Specific shape of screen
High : specific shape, curved",,"Describes whether the vehicle's displays use a custom or non-rectangular shape, curved form, or distinctive design signature beyond standard flat rectangular panels — a differentiator for premium brand identity.",Standard rectangular flat panel display.,Custom-shaped or mildly curved display.,Distinctively shaped or deeply curved display as a brand design signature.,Custom or Curved Screen Shape
Cockpit,Screens integration,,The degree to which multiple displays are integrated into a unified physical and visual design. ,Multiple displays behind a single glass cover panel.,Seamlessly integrated displays with minimal bezel separation.,Advanced integration: reflective (CRU/Phantom) or fully hidden/retractable screen concept.,Multi-Screen Integration and Design
Cockpit,Movable screen,,Capability for the central display to physically move its position. ,Fixed screen — no movement capability.,Rotatable screen (pivot axis adjustment).,Sliding along a track or foldable/retractable screen.,Movable or Repositionable Screen
Cockpit,Front passenger display,,"Dedicated display for the front passenger providing independent content viewing (video, navigation, apps) without interfering with the driver's view. ",No dedicated front passenger display.,"Front passenger screen smaller than 12"".","Front passenger screen 12"" or larger with independent content capability.",Front Passenger Dedicated Display
Cockpit,Rear Entertainment Display,,Rear-seat entertainment screen solution. ,Tablet holder/mount for customer's own device.,Two OEM-embedded rear displays (headrest or ceiling-mounted).,Single panoramic OEM-embedded rear screen spanning the full rear cabin.,Rear Seat Entertainment Display
Cockpit,"rear comfort display (HVAC, seats...)",,"Dedicated touchscreen for rear-seat passengers to independently control climate (HVAC), seat heating/cooling/massage, and other comfort functions without requiring front-seat occupant involvement.",Physical climate controls for rear occupants only — no screen.,Basic rear touchscreen for climate control only.,"Rear comfort touchscreen controlling HVAC, seat heating/cooling/massage, and entertainment.",Rear Passenger Comfort Control Display
Cockpit,HUD (Base= standard (image projection at 2m);,,"A Head-Up Display (HUD) projects driving-relevant information directly onto the windshield or a combiner panel within the driver's natural line of sight, reducing the need to look away from the road. ","Standard windshield or combiner HUD projecting speed, basic navigation arrows, and warning icons at approximately 2 metres virtual distance in the driver's line of sight.","Extended 2.5D HUD projecting speed, navigation guidance, speed limit, and lane information at a virtual distance of 4.5 to 10 metres, providing a greater sense of depth and reduced eye refocus effort.","Augmented Reality HUD projecting information at more than 10 metres virtual distance, with navigation arrows and hazard highlights spatially anchored to the actual road geometry and lane markings ahead of the vehicle.",Head-Up Display (HUD)
Cockpit,Smartphone Holder on dashboard,,Dashboard-integrated smartphone mounting solution. ,Physical holder only — no charging capability.,Dashboard holder with wired USB charging.,Dashboard holder with integrated Qi wireless charging.,Dashboard Smartphone Holder with Charging
Cockpit,Smartphone Wireless charging pad,,Number of simultaneous wireless (Qi) charging pads in the cabin. ,One wireless Qi charging pad in the cabin.,Two wireless charging pads.,Three or more wireless charging pads.,Wireless Smartphone Charging Pad
Cockpit,Digital interior rear view mirror,,Rear-view mirror that can display a live camera feed from a rear-mounted camera instead of (or in addition to) the conventional reflected view. ,Conventional glass mirror only — no digital mode.,Digital-display mode only (no conventional mirror fallback).,Dual-mode: switchable between conventional glass mirror and digital display.,Digital Interior Rear View Mirror
Cockpit,"Advanced Modalities (gesture, gazing)",,"New type of modalities to interact : gesture commandes, looked to stg fixed for example",—,—,—,Advanced Interaction Modalities (Gesture and Gaze Control)
Cockpit,"Customization (home page, cluster, HUD)",,"Extent to which the driver can personalise the layout and content of the HMI across multiple screens — home page widget arrangement, cluster data views, HUD information fields — and save configurations to a profile.",Fixed HMI layout — no user customisation.,Customisable home screen and cluster widgets (limited options).,"Full layout customisation across home screen, cluster, and HUD with saveable themed profiles.",HMI Screen Customisation (Home / Cluster / HUD)
Cockpit,"On Board Personalization (Smartseat, Ergonomics...)",,"In-vehicle personalisation of physical comfort settings including smart seat adjustment and memory, ergonomic preferences, HMI content favourites, and stored personal settings accessible without cloud connectivity.",Manual seat position only — no memory function.,Electric seat with single one-touch memory position.,"Smart seat with personalised ergonomic profile, HMI content favourites, and OTA preference updates.",On-Board Driver Personalisation (Smart Seat and Ergonomics)
Cockpit,Automatic Personalization (Digital setting) by SD or others,,automatic recognition of customer by mobile or digital key and application of linked profile settings,—,—,—,Automatic Profile Loading via Digital Key Recognition
Cockpit,Adaptative Front lighting System (AFS),,"Dynamic headlight system that adjusts beam direction and pattern in response to steering angle, vehicle speed, and road type to continuously optimise road illumination in curves, junctions, and varying speed conditions.",Fixed headlight beam — no directional adaptation.,Cornering lights (static or swivelling) active at low speed only.,"Full dynamic AFS: continuous beam steering linked to steering angle, speed, and road/map data.",Adaptive Front Lighting System (AFS)
Cockpit,Glare-free High Beam,,"Advanced high-beam system that maintains full high-beam illumination at all times while selectively masking specific zones around detected oncoming vehicles and preceding traffic, eliminating dazzle without reducing overall road illumination.",Manual high beam only — no auto anti-glare functionality.,Automatic high-beam assist (switches between high and dipped beam).,Glare-free high beam: continuously active high beam with selective masking of oncoming/preceding vehicles.,Glare-Free High Beam (Selective Beam Masking)
Cockpit,Exterior Lighting -,,Technology used for the vehicle's exterior lights (headlights and tail lights). ,"LED exterior lighting (headlights, tail lights).",Matrix LED: independently switchable LED groups for basic beam shaping.,Pixel LED: individually addressable pixels for precise beam control and animated light signatures.,Exterior Lighting Technology (LED / Matrix / Pixel)
Cockpit,Interior Lighting,,"Ambient interior lighting system that illuminates the cabin surfaces, footwells, door panels, and dashboard contours to create atmosphere and enhance the perceived quality of the interior. ",Fixed single-colour ambient lighting illuminating the cabin with one static colour tone that cannot be changed by the driver.,Multi-colour RGB ambient lighting system allowing the driver to select from a palette of colours or preset themes to personalise the cabin atmosphere.,"Functional ambient lighting that dynamically changes colour and intensity in real time in response to vehicle events such as navigation turn instructions, ADAS alerts, incoming calls, door opening warnings, and active drive mode changes",Ambient Interior Lighting
Cockpit,Interior Ambiences,,"Preset or customisable interior atmosphere packages combining ambient lighting, sound, climate, and seat settings. ",Fixed OEM-defined preset ambience themes.,"User-customisable ambience settings (colour, intensity, zone selection).","Adaptive ambience responding to external triggers: weather, time of day, drive mode, or detected events.",Interior Ambience Presets and Customisation
Cockpit,Illuminated Emblem on steering wheel,,"The brand emblem positioned at the centre of the steering wheel is backlit, transforming a standard badge into an illuminated design signature. ",Monochromatic backlit emblem (single colour).,Monochromatic backlit emblem (single colour).,Full RGB illuminated emblem dynamically linked to drive mode or ambient lighting theme.,Illuminated Brand Emblem on Steering Wheel
Cockpit,Electrical Seats,,"Power-adjustable seating allowing occupants to electrically control seat position, recline, lumbar support, and other ergonomic parameters via buttons or a touchscreen interface rather than manual mechanical levers. ","Electric adjustment is available on the driver seat only, allowing the driver to set and modify their seating position via powered controls.","Electric adjustment is available on both the driver and front passenger seats, providing powered comfort control for all front occupants.","Electric adjustment is available across all seats including the rear, providing powered comfort control for every occupant in the vehicle.",Electrically Adjustable Seats
Cockpit,Memorization  seats position,,"Memory function for electric seat (and optionally mirror/steering column) positions, allowing multiple drivers to save and instantly recall their preferred ergonomic settings.",No memory function — manual repositioning required each time.,Single memory position per driver.,"Multiple memory positions per driver, automatically recalled via personalisation profile.",Seat Position Memory Function
Cockpit,Massage seats,,In-seat pneumatic or mechanical massage system using inflatable air chambers or vibrating elements integrated into the seat structure to provide comfort and reduce fatigue during long journeys. ,"Massage function is available on the driver seat only, providing fatigue relief and comfort support for the driver during long journeys.","Massage function is available on both the driver and front passenger seats, extending active comfort support to all front occupants simultaneously.","Massage function is available across all seats including the rear, providing full cabin occupant comfort and wellbeing support for every passenger on board.",Seat Massage Function
Cockpit,Ventilated Seats,,"Active seat ventilation using fans to draw air through the seat cushion, providing cooling comfort. ",Active ventilation for front seats only.,Front seat ventilation with multi-level fan speed control.,Active ventilation for front and rear seats.,Ventilated Seats (Active Seat Cooling)
Cockpit,eCOI (Elecrical Door Opening),,"Electrically operated interior door release — replacing a conventional mechanical handle with a button, capacitive sensor, or fully electronic latch system for a cleaner interior design.",Conventional mechanical interior door handle only.,Electric interior door release (button or capacitive touch sensor).,"Fully electric interior door with soft-close, auto-hold, and power operation.",Electric Interior Door Release
Cockpit,Power Door,,"Motorised door system replacing conventional manual door operation with powered automatic open and close mechanisms, activated via button, handle sensor, or proximity detection.","Motorised automatic open and close is available on the front doors only, providing powered entry and exit convenience for the driver and front passenger.","Motorised automatic open and close is available on the front doors with additional features such as speed-sensitive closing force, obstacle detection, or programmable opening angle.","Motorised automatic open and close is available on both front and rear doors, providing fully powered entry and exit convenience for all occupants across the entire vehicle.",Power-Operated Doors (Motorised Door Opening)
Cockpit,Driver space release (Linked to L3/L4 autonomous vehicle),,"When L3/L4 autonomous mode is engaged, the steering wheel automatically retracts and/or the driver's seat reclines, releasing space in the driver's zone for a more comfortable resting posture during autonomous operation.",Fixed steering column — no retraction capability.,Telescopically retractable steering wheel when L3 is engaged.,Full driver-space release: steering wheel retraction plus seat recline when L3/L4 autonomous mode is active.,Driver Space Release for Autonomous Mode (Retractable Steering Wheel)
Cockpit,Power tailgate (PC),,Motorised boot/tailgate operation. ,Manual tailgate — no powered operation.,Powered tailgate (button-operated open/close).,Hands-free powered tailgate (kick-sensor or proximity detection activation).,Power Tailgate (Motorised Boot / Liftgate)
Cockpit,Start / Stop without Push,,"The vehicle can be started and operated without a traditional push-button ignition — simply entering the vehicle and engaging drive gear initiates operation, streamlining the boarding experience.",Conventional push-button start/stop required.,Walk-up start: vehicle powers on when keyless entry is detected on approach.,Buttonless operation: vehicle activates automatically on entry; gear engagement initiates motion.,Buttonless Start (No Push-Button Ignition)
Cockpit,High power USB Plug,,USB-C charging socket with elevated power delivery for fast device charging. ,Standard USB-A or USB-C up to 18 W.,High-power USB-C at 45 W.,Ultra-high-power USB-C at 60 W or above.,High-Power USB-C Charging Port
Cockpit,Steer by wire with specific steering wheel shape,,"Steer-by-wire (SbW) is a technology that replaces the conventional mechanical linkage between the steering wheel and the front wheels with an entirely electronic signal pathway, transmitting steering inputs via sensors, actuators, and control units. ",Conventional mechanical steering column connecting the steering wheel directly to the front wheels with no steer-by-wire technology present.,"Electro-mechanical steering system with a reduced or collapsible column architecture, representing a transitional step toward full steer-by-wire but retaining a mechanical fallback connection.","Full steer-by-wire system with no mechanical connection between the steering wheel and the front axle, enabling a custom-shaped or non-circular steering wheel design and fully variable electronic steering ratio.",Steer-by-Wire with Custom Steering Wheel Design
▶  TRAIL AND TRUCK SPECIFIC,Trail & Truck-Specific Features,,,,,,
Category Overview,,"Specialised equipment engineered for pickup truck utility, off-road adventure, and work-site productivity: trailer monitoring (tyre pressure, lights, tongue weight, health), bed utility (extenders, workbench tailgate, scales), auxiliary camera systems, onboard power generation, and mobile-office setups. These features address the professional and recreational demands of truck buyers and represent a critical differentiator in the highly competitive North American full-size and mid-size truck segments.",,,,,
TRAIL AND TRUCK SPECIFIC,Trailer Tire Pressure Monitor,,"System monitoring the tyre pressures of a hitched trailer and displaying individual readings inside the truck cab, alerting the driver to low-pressure conditions before they become safety issues.",TPMS warning indicator when pressure is critically low only.,Actual pressure readout per trailer axle displayed in cabin.,Real-time per-wheel trailer tyre pressure and temperature with historical trend logging.,Trailer Tyre Pressure Monitoring System
TRAIL AND TRUCK SPECIFIC,Auto Trailer Light Bulb Check,,"Automated system that checks the functionality of all trailer lights at vehicle start-up or connection, alerting the driver to any burned-out bulbs before departure.",Manual trailer lighting check via dashboard prompt.,Automatic bulb check at ignition on with pass/fail indicator.,Continuous trailer light monitoring with individual bulb identification and mobile app notification.,Automatic Trailer Light Bulb Check
TRAIL AND TRUCK SPECIFIC,Trailer Theft Alert,,"Anti-theft system that detects if the trailer is disconnected from the hitch while the truck is unattended, triggering the vehicle alarm and/or sending a push notification to the owner's mobile app.",Vehicle alarm triggered if trailer coupling is disturbed.,Vehicle alarm plus in-cabin notification when trailer is disconnected.,Alarm plus push notification to mobile app with GPS location at time of disconnect.,Trailer Theft Alert and Disconnect Notification
TRAIL AND TRUCK SPECIFIC,Payload Indicator w/ Exterior Readout / Onboard Scales,,"Onboard weighing system using suspension sensors to calculate and display the current payload in the truck bed in real time — showing weight, percentage of safe load capacity, and triggering overload warnings both inside the cabin and (at higher levels) on an exterior display at the tailgate.",Estimated payload percentage indicator in cluster only.,Digital payload weight display in cabin with overload warning.,Real-time payload scale on interior display and tailgate exterior panel with overload alert.,Payload Indicator and Onboard Bed Scales
TRAIL AND TRUCK SPECIFIC,Trailer Tongue Weight Notification,,System measuring the static tongue weight (downward force of trailer on hitch ball) to help the driver optimise weight distribution during loading and confirm safe loading before departure. ,Tongue weight guidance based on trailer profile entry (estimated only).,Measured tongue weight with acceptable range guidance on central display.,Measured tongue weight for conventional and 5th-wheel/gooseneck hitches with weight-distribution guidance and app support.,Trailer Tongue Weight Measurement and Guidance
TRAIL AND TRUCK SPECIFIC,Tailgate as a Workbench,,"Tailgate designed and equipped to function as a job-site work surface, with features such as a flat stable work area, integrated rulers, clamp pockets, tool holders, tie-down hooks, cup holders, and USB power outlets.",Flat tailgate surface usable as basic work area only.,"Tailgate with integrated ruler, tie-down hooks, and cup holders.","Full workbench: flat stable surface, clamp pockets, tool holders, cup holders, and USB power outlets.",Tailgate Workbench with Integrated Tools
TRAIL AND TRUCK SPECIFIC,Tailgate Down Camera,,Camera and sensor system that maintains full functionality of the rear-view and 360-degree surround cameras when the tailgate is lowered — adjusting camera angles automatically and keeping backup sensors active.,Separate rear camera available when tailgate is down.,Automatic camera angle adjustment maintaining rear view with tailgate lowered.,"Full continuity: adaptive camera, functioning 360° view, and backup sensors integrated into tailgate.",Tailgate-Down Rear Camera System
TRAIL AND TRUCK SPECIFIC,Wireless Camera,,"Auxiliary cameras with their own battery power source that connect wirelessly to the truck's infotainment head unit, allowing flexible mounting anywhere on the truck or trailer without cable routing.",One wireless auxiliary camera with limited mounting options.,Up to two wireless cameras with dedicated battery power source.,Multiple wireless cameras mountable anywhere on truck or trailer with automatic head-unit integration.,Wireless Auxiliary Camera System
TRAIL AND TRUCK SPECIFIC,Wired Camera,,"Auxiliary cameras hardwired to the truck's electrical system for a permanent, reliable connection — mountable at various positions on the truck or trailer for expanded visibility coverage.",Single additional wired auxiliary camera.,Up to two wired cameras integrated into the vehicle wiring harness.,Full auxiliary wired camera system with multiple inputs and configurable display zones.,Wired Auxiliary Camera System
TRAIL AND TRUCK SPECIFIC,Bed Extender,,A retractable panel (typically stored beneath the bed floor) that slides or folds out beyond the tailgate to increase the effective cargo bed length for oversized loads.,Fixed rigid bed extender accessory — no retraction.,Slide-out bed extender stored beneath the bed floor.,Powered or assisted slide-out bed extender with automatic deployment.,Cargo Bed Extender
